id,province,district,name,category,municipality_or_area,priority,research_status,geometry_type,source_routing_status,access_status,permit_layers,parent_entity_id,visitor_ready_label,match_method,permit_entry_text,how_to_visit,canonical_source_file,visitor_ready_source_file
np-koshi-jhapa-mini-mountain-bahundangi,Koshi,Jhapa,Mini Mountain Bahundangi,Viewpoint,Mechinagar Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Mini Mountain Bahundangi,root-mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-satakshi-dham,Koshi,Jhapa,Satakshi Dham,Hindu pilgrimage and forest attraction,Shivasatakshi Municipality,Major,,AREA,routable,ROUTABLE,NONE,,Satakshi Dham,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-bhelagudi-wetland,Koshi,Jhapa,Bhelagudi Wetland,Wetland and picnic destination,Haldibari Rural Municipality,High,,WATER,routable,ROUTABLE,NONE,,Bhelagudi Wetland,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-birat-pokhari,Koshi,Jhapa,Birat Pokhari,Historical pond,Birtamod area,High,,WATER,routable,ROUTABLE,NONE,,Birat Pokhari,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-burney-tea-estate,Koshi,Jhapa,Burney Tea Estate,Tea landscape,Buddhashanti Rural Municipality,High,,AREA,routing_hold,ROUTING_HOLD,NONE,,,,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-chillagadh,Koshi,Jhapa,Chillagadh,Historical and cultural heritage,Shivasatakshi Municipality,High,,AREA,routable,ROUTABLE,NONE,,Chillagadh,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-damak-tourism-park-birat-buddha-village,Koshi,Jhapa,Damak Tourism Park / Birat Buddha Village,Developing Buddhist tourism project,Damak,Developing,,AREA,routable,ROUTABLE,NONE,,Damak Tourism Park / Birat Buddha Village,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-dhanushkoti-dham,Koshi,Jhapa,Dhanushkoti Dham,Religious and mythological site,Kankai–Domukha area,High,,POINT,routable,ROUTABLE,NONE,,Dhanushkoti Dham,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-dharagola-view-tower,Koshi,Jhapa,Dharagola View Tower,Viewpoint,Buddhashanti Rural Municipality Ward 7,High,,POINT,routable,ROUTABLE,NONE,,Dharagola View Tower,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-dhulabari-tea-estate,Koshi,Jhapa,Dhulabari Tea Estate,Tea garden,Mechinagar Municipality,High,,AREA,routable,ROUTABLE,NONE,,Dhulabari Tea Estate,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-gauradaha-dah-pokhari,Koshi,Jhapa,Gauradaha Dah Pokhari,Historic pond,Gauradaha Municipality,High,,WATER,routable,ROUTABLE,NONE,,Gauradaha Dah Pokhari,root-mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-kechana-jhil,Koshi,Jhapa,Kechana Jhil,Lake and wetland,Kachankawal Rural Municipality,High,,AREA,routable,ROUTABLE,NONE,,Kechana Jhil,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-mahendra-park,Koshi,Jhapa,Mahendra Park,Urban park,Bhadrapur Municipality,High,,AREA,routable,ROUTABLE,NONE,,Mahendra Park,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-pau-pathibhara-temple,Koshi,Jhapa,Pau Pathibhara Temple,Religious site and viewpoint,"Charali, Mechinagar",High,,POINT,routable,ROUTABLE,NONE,,Pau Pathibhara Temple,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-jhapa-salbari-park,Koshi,Jhapa,Salbari Park,Forest park,Arjundhara Municipality,High,,AREA,routable,ROUTABLE,NONE,,Salbari Park,mention,,,provinces/koshi/districts/jhapa.md,provinces/koshi/visitor-ready/jhapa.md
np-koshi-khotang-baraha-pokhari,Koshi,Khotang,Baraha Pokhari,Sacred lake and pilgrimage,Barahapokhari Rural Municipality,Major,,WATER,routable,ROUTABLE,NONE,,Baraha Pokhari,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-dhiplung-waterfall,Koshi,Khotang,Dhiplung Waterfall,Waterfall,Diprung Chuichumma Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Dhiplung Waterfall,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-halesi-cave-complex,Koshi,Khotang,Halesi Cave Complex,Multi-faith sacred cave system,Halesi Tuwachung Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Halesi Cave Complex,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-halesi-mahadev-temple,Koshi,Khotang,Halesi Mahadev Temple,Hindu pilgrimage and sacred cave,Halesi Tuwachung Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Halesi Mahadev Temple,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-jantedhunga,Koshi,Khotang,Jantedhunga,Historical and cultural hill,Jantedhunga Rural Municipality,Major,,AREA,routable,ROUTABLE,NONE,,Jantedhunga,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-kepilasgadhi-fort,Koshi,Khotang,Kepilasgadhi Fort,Historical fort,Kepilasgadhi Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Kepilasgadhi Fort,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-majhuwagadhi,Koshi,Khotang,Majhuwagadhi,Historical fort and viewpoint,Diktel Rupakot Majhuwagadhi Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Majhuwagadhi,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-maratika-cave,Koshi,Khotang,Maratika Cave,Buddhist pilgrimage cave,Halesi area,Major,,POINT,routable,ROUTABLE,NONE,,Maratika Cave,root-mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-rupakot-danda,Koshi,Khotang,Rupakot Danda,Hill viewpoint and religious site,Diktel Rupakot Majhuwagadhi Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Rupakot Danda,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-tuwachung-jayajum-hill,Koshi,Khotang,Tuwachung–Jayajum Hill,Kirat sacred site and viewpoint,Halesi Tuwachung Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Tuwachung–Jayajum Hill,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-bhulbhule-dudhkunda-deudham,Koshi,Khotang,Bhulbhule Dudhkunda Deudham,Sacred spring and pilgrimage,Nerpa Ward 6,High,,POINT,routable,ROUTABLE,NONE,,Bhulbhule Dudhkunda Deudham,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-indrani-pokhari,Koshi,Khotang,Indrani Pokhari,Sacred pond and Kirat site,Khotehang Rural Municipality Ward 6,High,,WATER,routable,ROUTABLE,NONE,,Indrani Pokhari,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-kangsahop-lake,Koshi,Khotang,Kangsahop Lake,Artificial lake and boating,Kharmi–Bhangedar Ward 11,Emerging/High,,WATER,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,OPERATOR_DEPENDENT;DYNAMIC,,Kangsahop Lake,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-lakuchumbu-waterfall,Koshi,Khotang,Lakuchumbu Waterfall,Waterfall,Khotehang Rural Municipality Ward 3,High,,POINT,routable,ROUTABLE,NONE,,Lakuchumbu Waterfall,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-mahuregadhi,Koshi,Khotang,Mahuregadhi,Historical fort and viewpoint,Diktel Rupakot Majhuwagadhi Municipality,High,,POINT,routable,ROUTABLE,NONE,,Mahuregadhi,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-paruhang-sumnima-park,Koshi,Khotang,Paruhang–Sumnima Park,Kirat religious and cultural park,Khotehang Rural Municipality Ward 5,High,,POINT,routable,ROUTABLE,NONE,,Paruhang–Sumnima Park,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-sapsudhapa,Koshi,Khotang,Sapsudhapa,Religious and natural site,Diktel Rupakot Majhuwagadhi Municipality,High,,POINT,routable,ROUTABLE,NONE,,Sapsudhapa,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-soldhunga-tourism-area,Koshi,Khotang,Soldhunga Tourism Area,Rock formation and viewpoint,Khotehang Rural Municipality,High,,POINT,routable,ROUTABLE,NONE,,Soldhunga Tourism Area,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-khotang-yalambar-park,Koshi,Khotang,Yalambar Park,Kirat cultural park,Khotehang Rural Municipality Ward 2,High,,POINT,routable,ROUTABLE,NONE,,Yalambar Park,mention,,,provinces/koshi/districts/khotang.md,provinces/koshi/visitor-ready/khotang.md
np-koshi-morang-betana-wetland,Koshi,Morang,Betana Wetland,"Wetland, wildlife and boating",Belbari Municipality,Major,,WATER,routable,ROUTABLE,OPERATOR_DEPENDENT,,Betana Wetland,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-betini-wetland,Koshi,Morang,Betini Wetland,Wetland and birdwatching,Urlabari Municipality,Major,,WATER,routable,ROUTABLE,NONE,,Betini Wetland,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-bhulke-wetland,Koshi,Morang,Bhulke Wetland,Wetland and eco-tourism,Pathari Shanishchare Municipality,Major,,WATER,routable,ROUTABLE,NONE,,Bhulke Wetland,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-birat-palace-archaeological-site-bhediyari-dhisko,Koshi,Morang,Birat Palace Archaeological Site / Bhediyari Dhisko,Archaeological and historical site,Biratnagar–18,Major,,AREA,routable,ROUTABLE,NONE,,Birat Palace Archaeological Site / Bhediyari Dhisko,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-dhanpalgadhi,Koshi,Morang,Dhanpalgadhi,Historical fort and Tharu religious site,Belbari Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Dhanpalgadhi,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-hasina-wetland-hasina-simsar,Koshi,Morang,Hasina Wetland / Hasina Simsar,Wetland and recreation,Sundarharaicha Municipality Ward 5,Major,,WATER,routable,ROUTABLE,NONE,,Hasina Wetland / Hasina Simsar,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-jefale-danda,Koshi,Morang,Jefale Danda,Hill station and viewpoint,Kerabari Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Jefale Danda,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-kanepokhari-lake,Koshi,Morang,Kanepokhari Lake,Lake and recreation,Kanepokhari Rural Municipality,Major,,WATER,routable,ROUTABLE,NONE,,Kanepokhari Lake,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-rajarani-pond,Koshi,Morang,Rajarani Pond,Sacred pond and Dhimal heritage,Letang Municipality Ward 1,Major,,WATER,routable,ROUTABLE,NONE,,Rajarani Pond,root-mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-baghjhora,Koshi,Morang,Baghjhora,Forest and stream destination,Sundarharaicha Municipality,High,,AREA,routable,ROUTABLE,NONE,,Baghjhora,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-biratnagar-jute-mills,Koshi,Morang,Biratnagar Jute Mills,Industrial and political heritage,Biratnagar,Major heritage potential,,POINT,routable,ROUTABLE,NONE,,Biratnagar Jute Mills,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-interfaith-peace-park,Koshi,Morang,Interfaith Peace Park,Religious harmony park,Letang Municipality Ward 1,High,,POINT,routable,ROUTABLE,NONE,,Interfaith Peace Park,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-jhalajhali-wetland,Koshi,Morang,Jhalajhali Wetland,Wetland,Belbari Municipality,High,,WATER,routable,ROUTABLE,NONE,,Jhalajhali Wetland,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-kali-mandir,Koshi,Morang,Kali Mandir,Hindu religious site,Biratnagar,High,,POINT,routable,ROUTABLE,NONE,,Kali Mandir,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-lampate-wetland,Koshi,Morang,Lampate Wetland,Wetland,Urlabari Municipality,High,,WATER,routable,ROUTABLE,NONE,,Lampate Wetland,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-raniban-eco-tourism-area,Koshi,Morang,Raniban Eco-tourism Area,Forest and eco-tourism,Letang Municipality,High,,AREA,routable,ROUTABLE,NONE,,Raniban Eco-tourism Area,root-mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-morang-sunawarshi-pond,Koshi,Morang,Sunawarshi Pond,Sacred pond and Indigenous culture,Ratuwamai Municipality Ward 5,High,,WATER,routable,ROUTABLE,NONE,,Sunawarshi Pond,mention,,,provinces/koshi/districts/morang.md,provinces/koshi/visitor-ready/morang.md
np-koshi-okhaldhunga-champadevi-temple,Koshi,Okhaldhunga,Champadevi Temple,Hindu pilgrimage and hill destination,Champadevi Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Champadevi Temple,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-khiji-tholedemba,Koshi,Okhaldhunga,Khiji Tholedemba,High-altitude viewpoint and trekking,Khijidemba Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Khiji Tholedemba,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-libju-religious-site,Koshi,Okhaldhunga,Libju Religious Site,Kirat sacred site,Manebhanjyang Rural Municipality,Major,,POINT,routing_hold,ROUTING_HOLD,NONE,,,,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-patale-viewpoint,Koshi,Okhaldhunga,Patale Viewpoint,Himalayan viewpoint,Northern Okhaldhunga,Major,,POINT,routable,ROUTABLE,NONE,,Patale Viewpoint,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-pokali-waterfall,Koshi,Okhaldhunga,Pokali Waterfall,Waterfall,Likhu Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Pokali Waterfall,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-ratmate-waterfall,Koshi,Okhaldhunga,Ratmate Waterfall,Waterfall,Chisankhugadhi Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Ratmate Waterfall,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-chandi-devi-temple-and-chandisthan-cave,Koshi,Okhaldhunga,Chandi Devi Temple and Chandisthan Cave,Temple and sacred cave,"Ragani, Champadevi Rural Municipality",High,,POINT,routable,ROUTABLE,NONE,,Chandi Devi Temple and Chandisthan Cave,root-mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-chisankhugadhi,Koshi,Okhaldhunga,Chisankhugadhi,Historical fort,Chisankhugadhi Rural Municipality,High,,POINT,routable,ROUTABLE,NONE,,Chisankhugadhi,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-okhaldhunga-gadhi,Koshi,Okhaldhunga,Okhaldhunga Gadhi,Historical fort,Siddhicharan area,High,,POINT,routable,ROUTABLE,NONE,,Okhaldhunga Gadhi,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-prapcha-tourism-park,Koshi,Okhaldhunga,Prapcha Tourism Park,Developing recreation site,Molung Rural Municipality Ward 3,Developing,,POINT,routable,ROUTABLE,NONE,,Prapcha Tourism Park,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-rumjatar,Koshi,Okhaldhunga,Rumjatar,Highland settlement and gateway,Siddhicharan Municipality,High,,POINT,routable,ROUTABLE,NONE,,Rumjatar,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-siddhicharan-shrestha-birthplace-area,Koshi,Okhaldhunga,Siddhicharan Shrestha Birthplace Area,Literary heritage,Okhaldhunga Bazaar,High,,AREA,routable,ROUTABLE,NONE,,Siddhicharan Shrestha Birthplace Area,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-srijana-srasta-park,Koshi,Okhaldhunga,Srijana / Srasta Park,Literary memorial park,Siddhicharan Municipality,High,,AREA,routable,ROUTABLE,NONE,,Srijana / Srasta Park,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-okhaldhunga-tolu-gumba,Koshi,Okhaldhunga,Tolu Gumba,Buddhist monastery,Jantarkhani area,High,,POINT,dynamic_check_required,DYNAMIC_CHECK_REQUIRED,NONE,,Tolu Gumba,mention,,,provinces/koshi/districts/okhaldhunga.md,provinces/koshi/visitor-ready/okhaldhunga.md
np-koshi-panchthar-chiwabhanjyang,Koshi,Panchthar,Chiwabhanjyang,Border pass and viewpoint,Yangwarak Rural Municipality,Major,,AREA,routable,ROUTABLE,BORDER_CONTROL,,Chiwabhanjyang,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-hilihang-palace,Koshi,Panchthar,Hilihang Palace,Historical palace and viewpoint,Hilihang Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Hilihang Palace,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-kummayak-kussayak,Koshi,Panchthar,Kummayak–Kussayak,Kirat sacred and historical site,Kummayak Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Kummayak–Kussayak,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-labrekuti-silauti,Koshi,Panchthar,Labrekuti–Silauti,Kirat pilgrimage and historical site,Phidim–Phalgunanda border,Major,,AREA,routable,ROUTABLE,NONE,,Labrekuti–Silauti,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-mahaguru-phalgunanda-mausoleum,Koshi,Panchthar,Mahaguru Phalgunanda Mausoleum,Religious memorial,Silauti–Labrekuti,Major,,AREA,routable,ROUTABLE,NONE,,Mahaguru Phalgunanda Mausoleum,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-phalot,Koshi,Panchthar,Phalot,High-altitude meadow and viewpoint,Phalelung Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Phalot,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-phokte-danda,Koshi,Panchthar,Phokte Danda,Himalayan viewpoint,Phalelung Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Phokte Danda,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-sadhutar,Koshi,Panchthar,Sadhutar,Hill viewpoint and pond,Phidim Municipality Ward 8,Major,,WATER,routable,ROUTABLE,NONE,,Sadhutar,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-sehonamlang,Koshi,Panchthar,Sehonamlang,Mundhumi sacred hill and caves,Phalgunanda Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Sehonamlang,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-sumhatlung,Koshi,Panchthar,Sumhatlung,Kirat sacred and historical site,Phidim Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Sumhatlung,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-timbu-pokhari,Koshi,Panchthar,Timbu Pokhari,Sacred alpine lake and trek,Yangwarak Rural Municipality,Major,,WATER,routable,ROUTABLE,NONE,,Timbu Pokhari,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-aagejung-monastery,Koshi,Panchthar,Aagejung Monastery,Historic Buddhist monastery,Phalelung Rural Municipality Ward 1,High,,POINT,routable,ROUTABLE,NONE,,Aagejung Monastery,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-battise-waterfall,Koshi,Panchthar,Battise Waterfall,Waterfall,Phalgunanda Rural Municipality Ward 2,High,,POINT,routable,ROUTABLE,NONE,,Battise Waterfall,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-bhote-gadhi,Koshi,Panchthar,Bhote Gadhi,Historical fort,Yangwarak Rural Municipality,High,,POINT,routable,ROUTABLE,NONE,,Bhote Gadhi,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-gumse-pathibhara,Koshi,Panchthar,Gumse Pathibhara,Religious site and viewpoint,Yangwarak Rural Municipality,High,,POINT,routable,ROUTABLE,NONE,,Gumse Pathibhara,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-gupteshwar-mahadev,Koshi,Panchthar,Gupteshwar Mahadev,Sacred cave,Yangwarak Rural Municipality,High,,POINT,routable,ROUTABLE,NONE,,Gupteshwar Mahadev,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-hile-pokhari,Koshi,Panchthar,Hile Pokhari,Pond and wetland,Miklajung Rural Municipality,High,,WATER,routable,ROUTABLE,NONE,,Hile Pokhari,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-panchthar-jor-pokhari,Koshi,Panchthar,Jor Pokhari,Twin sacred ponds,Hilihang Rural Municipality,High,,WATER,routable,ROUTABLE,NONE,,Jor Pokhari,mention,,,provinces/koshi/districts/panchthar.md,provinces/koshi/visitor-ready/panchthar.md
np-koshi-sankhuwasabha-arun-valley,Koshi,Sankhuwasabha,Arun Valley,River valley and trekking landscape,Sankhuwasabha,Major,,CORRIDOR,routable,ROUTABLE,NONE,,Arun Valley,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-barun-valley,Koshi,Sankhuwasabha,Barun Valley,Himalayan valley,Makalu Barun National Park,Major,,CORRIDOR,routable,ROUTABLE,NONE,,Barun Valley,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-chhyankuti-danda,Koshi,Sankhuwasabha,Chhyankuti Danda,Himalayan viewpoint,Khandbari area,Major,,POINT,routable,ROUTABLE,NONE,,Chhyankuti Danda,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-gupha-pokhari,Koshi,Sankhuwasabha,Gupha Pokhari,Highland lake and viewpoint,Chainpur Municipality Ward 1,Major,,WATER,routable,ROUTABLE,NONE,,Gupha Pokhari,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-kimathanka,Koshi,Sankhuwasabha,Kimathanka,Nepal–China border village,Bhotkhola Rural Municipality,Major,,AREA,routable,ROUTABLE,BORDER_CONTROL,,Kimathanka,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-makalu-barun-national-park,Koshi,Sankhuwasabha,Makalu Barun National Park,National park and wildlife,Northern Sankhuwasabha,Major,,PROTECTED_AREA,routable,ROUTABLE,PROTECTED_AREA_ENTRY,makalu-barun-national-park,Makalu Barun National Park,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-makalu-base-camp,Koshi,Sankhuwasabha,Makalu Base Camp,High-altitude trekking destination,Makalu Rural Municipality,Major,,AREA,routable,ROUTABLE,NONE,,Makalu Base Camp,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-milke-danda,Koshi,Sankhuwasabha,Milke Danda,Rhododendron ridge and viewpoint,Chichila–Silichong,Major,,CORRIDOR,routable,ROUTABLE,NONE,,Milke Danda,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-mount-makalu,Koshi,Sankhuwasabha,Mount Makalu,Mountain and expedition destination,Makalu Rural Municipality,Major,,POINT,routable,ROUTABLE,NONE,,Mount Makalu,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
np-koshi-sankhuwasabha-sabha-pokhari,Koshi,Sankhuwasabha,Sabha Pokhari,Sacred alpine lake,Silichong Rural Municipality,Major,,ROUTE,routable,ROUTABLE,NONE,,Sabha Pokhari,mention,,,provinces/koshi/districts/sankhuwasabha.md,provinces/koshi/visitor-ready/sankhuwasabha.md
