index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
236,Koshi Province,Solukhumbu,Thame Village and Monastery,Sherpa village and monastery,Thame Valley,High,First-round researched,
237,Koshi Province,Sunsari,Amha Simsar / Amaha Wetland,Wetland and birdwatching,Barju Rural Municipality,Major,First-round researched,
238,Koshi Province,Sunsari,Barahakshetra Temple,Hindu pilgrimage site,Barahakshetra Municipality,Major,First-round researched,
239,Koshi Province,Sunsari,Budha Subba Temple,Kirat and Hindu site,"Vijayapur, Dharan",Major,First-round researched,
240,Koshi Province,Sunsari,Chatara,Religious gateway and river town,Barahakshetra Municipality,Major,First-round researched,
241,Koshi Province,Sunsari,Chataradham,Religious pilgrimage destination,Chatara,Major,First-round researched,
242,Koshi Province,Sunsari,Dantakali Temple,Shakti Peeth,"Vijayapur, Dharan",Major,First-round researched,
243,Koshi Province,Sunsari,Koshi Barrage Viewpoint,River viewpoint and birdwatching,Koshi River,Major,First-round researched,
244,Koshi Province,Sunsari,Koshi Tappu Ramsar Site,Wetland of international importance,Koshi floodplain,Major,First-round researched,
245,Koshi Province,Sunsari,Koshi Tappu Wildlife Reserve,Wildlife reserve and wetland,Sunsari–Saptari–Udayapur,Major,First-round researched,
246,Koshi Province,Sunsari,Pindeshwar Temple,Hindu pilgrimage site,"Vijayapur, Dharan",Major,First-round researched,
247,Koshi Province,Sunsari,Ramdhuni Temple,Hindu pilgrimage and sacred fire site,Ramdhuni Municipality,Major,First-round researched,
248,Koshi Province,Sunsari,Tal Talaiya,"Wetland, park and boating",Itahari,Major,First-round researched,
249,Koshi Province,Sunsari,Vijayapur Hill,Historical and religious landscape,Dharan,Major,First-round researched,
250,Koshi Province,Sunsari,Chinde Danda,Viewpoint and hike,Dharan area,High,First-round researched,
251,Koshi Province,Sunsari,Mechikali Pokhari,Pond and recreation,Itahari,High,First-round researched,
252,Koshi Province,Sunsari,Panchakanya Forest,Forest recreation,Dharan,High,First-round researched,
253,Koshi Province,Sunsari,Srilanka Tappu,River island and wetland,Koshi floodplain,High,First-round researched,
254,Koshi Province,Sunsari,Vijayapur Gadhi,Historical fort,Dharan,High,First-round researched,
255,Koshi Province,Taplejung,Diki Chhyoling Monastery,Historic Buddhist monastery,Olangchung Gola,Major,First-round researched,
256,Koshi Province,Taplejung,Fungfunge / Phungphunge Waterfall,Waterfall,Meringden Rural Municipality,Major,First-round researched,
257,Koshi Province,Taplejung,Ghunsa Village,Sherpa village and trekking hub,Phaktanglung Rural Municipality,Major,First-round researched,
258,Koshi Province,Taplejung,Kanchenjunga Conservation Area,Conservation area and trekking,Northern Taplejung,Major,First-round researched,
259,Koshi Province,Taplejung,Kanchenjunga North Base Camp / Pang Pema,High-altitude trekking destination,Phaktanglung Rural Municipality,Major,First-round researched,
260,Koshi Province,Taplejung,Kanchenjunga South Base Camp / Oktang,High-altitude trekking destination,Sirijangha Rural Municipality,Major,First-round researched,
261,Koshi Province,Taplejung,Lhonak Valley,Alpine valley,Phaktanglung Rural Municipality,Major,First-round researched,
262,Koshi Province,Taplejung,Mount Kanchenjunga,Mountain and expedition destination,Northern Taplejung,Major,First-round researched,
263,Koshi Province,Taplejung,Olangchung Gola,Historic trans-Himalayan village,Phaktanglung Rural Municipality Ward 7,Major,First-round researched,
264,Koshi Province,Taplejung,Pathibhara Devi Temple,Pilgrimage site and viewpoint,Taplejung,Major,First-round researched,
265,Koshi Province,Taplejung,Sele La,High mountain pass,Kanchenjunga circuit,Major,First-round researched,
266,Koshi Province,Taplejung,Timbung Pokhari,Sacred alpine lake,Sidingwa–Panchthar border area,Major,First-round researched,
267,Koshi Province,Taplejung,Tiptala / Tipta La Border Pass,Nepal–China border pass,North of Olangchung Gola,Major,First-round researched,
268,Koshi Province,Taplejung,Yalung Glacier,Glacier,Sirijangha Rural Municipality,Major,First-round researched,
269,Koshi Province,Taplejung,Yalung Valley,Glacier valley,Sirijangha Rural Municipality,Major,First-round researched,
270,Koshi Province,Taplejung,Gumbadanda,Buddhist cultural village and homestay,Phungling Municipality,High,First-round researched,
271,Koshi Province,Taplejung,Lelep Village,Conservation gateway,Phaktanglung Rural Municipality,High,First-round researched,
272,Koshi Province,Taplejung,"Limbu Museum, Mamangkhe",Cultural museum,Sirijangha Rural Municipality,High,First-round researched,
273,Koshi Province,Taplejung,Sirijangha Cave,Historical and religious cave,Sirijangha Rural Municipality,High,First-round researched,
274,Koshi Province,Taplejung,Suketar,Air gateway,Phungling Municipality,Major gateway,First-round researched,
275,Koshi Province,Taplejung,Tato Pani,Natural hot spring,Sirijangha Rural Municipality,High,First-round researched,
276,Koshi Province,Tehrathum,Basantapur,Hill station and rhododendron gateway,Laligurans Municipality,Major,First-round researched,
277,Koshi Province,Tehrathum,Changlung Cave,Cave and geological attraction,Chhathar Rural Municipality Ward 6,Major,First-round researched,
278,Koshi Province,Tehrathum,Chotlung Park,Limbu cultural park,"Basantapur, Laligurans Municipality Ward 3",Major,First-round researched,
279,Koshi Province,Tehrathum,Hyatrung Waterfall,Waterfall,Phedap Rural Municipality Wards 4–5,Major,First-round researched,
280,Koshi Province,Tehrathum,Menchhayayem Danda,Himalayan viewpoint,Menchhayayem Rural Municipality,Major,First-round researched,
281,Koshi Province,Tehrathum,Tinjure Danda,Rhododendron forest and viewpoint,Laligurans Municipality,Major,First-round researched,
282,Koshi Province,Tehrathum,Tinjure–Milke–Jaljale Corridor,Rhododendron biodiversity and trekking,Laligurans and adjoining districts,Major,First-round researched,
283,Koshi Province,Tehrathum,Marga Pokhari,Sacred natural pond,Chhathar Rural Municipality,High,First-round researched,
284,Koshi Province,Tehrathum,Morahang Bazaar,Historic hill settlement,Menchhayayem Rural Municipality,High,First-round researched,
285,Koshi Province,Tehrathum,Myanglung Bazaar,Historical hill town,Myanglung Municipality,High,First-round researched,
286,Koshi Province,Tehrathum,Myanglung Cat Stone / Chichi Lung,Cultural landmark,Myanglung Municipality,High,First-round researched,
287,Koshi Province,Tehrathum,Panchakanya Chhathar Pokhari,Pond and religious landscape,Chhathar Rural Municipality,High,First-round researched,
288,Koshi Province,Tehrathum,Sankranti Bazaar,Historic market and Aathrai gateway,Aathrai Rural Municipality,High,First-round researched,
289,Koshi Province,Udayapur,Chaudandigadhi Fort,Historical fort and viewpoint,Chaudandigadhi Municipality,Major,First-round researched,
290,Koshi Province,Udayapur,Koshi Tappu Wildlife Reserve – Udayapur section,Wildlife and wetland,Belaka Municipality side,Major,First-round researched,
291,Koshi Province,Udayapur,Limchungbung Everest Viewpoint / Debate Danda,Himalayan viewpoint,Limchungbung Rural Municipality,Major,First-round researched,
292,Koshi Province,Udayapur,Rauta Pokhari and Rauta Mahadev,Sacred pond and pilgrimage cluster,Rautamai Rural Municipality,Major,First-round researched,
293,Koshi Province,Udayapur,Tapli Pokhari,Sacred pond and viewpoint,Tapli Rural Municipality,Major,First-round researched,
294,Koshi Province,Udayapur,Triveni Dham,River confluence and pilgrimage,Katari Municipality,Major,First-round researched,
295,Koshi Province,Udayapur,Udayapurgadhi,Historical fort and viewpoint,Udayapurgadhi Rural Municipality Ward 5,Major,First-round researched,
296,Koshi Province,Udayapur,Basaha Than Shivalaya,Hindu temple,Chaudandigadhi Municipality Ward 4,High,First-round researched,
297,Koshi Province,Udayapur,Dwardani Devi Sthan,Religious site,Chaudandigadhi Municipality Ward 7,High,First-round researched,
298,Koshi Province,Udayapur,Kanya Aulshree Gumba,Buddhist monastery,Chaudandigadhi Municipality Ward 7,High,First-round researched,
299,Koshi Province,Udayapur,Lingeshwar Shivalaya,Hindu temple,Chaudandigadhi Municipality Ward 6,High,First-round researched,
300,Koshi Province,Udayapur,Mini Apraha Waterfall,Waterfall,Chaudandigadhi Municipality Ward 8,High,First-round researched,
301,Koshi Province,Udayapur,Sapta Koshi River Corridor,River and nature destination,Belaka Municipality,High,First-round researched,
302,Koshi Province,Udayapur,Than Pokhari Than,Sacred pond and religious site,Chaudandigadhi Municipality Ward 9,High,First-round researched,
303,Madhesh Province,Saptari,Chinnamasta Bhagwati Temple,Religious sites and temples,Chinnamasta Rural Municipality,To prioritize,Master inventory researched,
304,Madhesh Province,Saptari,Kankalini Temple,Religious sites and temples,Hanumannagar Kankalini Municipality,To prioritize,Master inventory researched,
305,Madhesh Province,Saptari,Shambhunath Temple,Religious sites and temples,Shambhunath Municipality,To prioritize,Master inventory researched,
306,Madhesh Province,Saptari,Koshi Tappu Wildlife Reserve sector,"National parks, conservation areas, and wildlife sites",Koshi floodplain,To prioritize,Master inventory researched,Cross-district reserve.
307,Madhesh Province,Saptari,Koshi Barrage eastern approaches,Major tourist attractions,Hanumannagar-Kankalini area,To prioritize,Master inventory researched,
308,Madhesh Province,Saptari,Rupani wetland and forest belt,Lakes and wetlands,Rupani area,To prioritize,Master inventory researched,
309,Madhesh Province,Saptari,Bhar Daha wetland,Lakes and wetlands,Kanchanrup area,To prioritize,Master inventory researched,
310,Madhesh Province,Saptari,Saptakoshi river islands and bird habitat,Rivers and waterfalls,Eastern Saptari,To prioritize,Master inventory researched,
311,Madhesh Province,Siraha,Salahesh Fulbari,Historical and cultural places,Lahan Municipality area,To prioritize,Master inventory researched,Cultural garden associated with the folk hero Salahesh.
312,Madhesh Province,Siraha,Pakadi Gadhi remains,Historical and cultural places,Local verification required,To prioritize,Master inventory researched,Exact site naming/location should be checked locally.
313,Madhesh Province,Siraha,Salahesh Temple sites,Religious sites and temples,Lahan-Siraha region,To prioritize,Master inventory researched,
314,Madhesh Province,Siraha,Uttarayani Dham,Religious sites and temples,Kamala river area,To prioritize,Master inventory researched,
315,Madhesh Province,Siraha,Baba Taal,Lakes and wetlands,Lahan area,To prioritize,Master inventory researched,
316,Madhesh Province,Siraha,Kamal Daha,Lakes and wetlands,Siraha district,To prioritize,Master inventory researched,
317,Madhesh Province,Siraha,Kamala River corridor,Rivers and waterfalls,Eastern district boundary,To prioritize,Master inventory researched,
318,Madhesh Province,Siraha,Chure foothill forest belt,Natural attractions,Northern Siraha,To prioritize,Master inventory researched,
319,Madhesh Province,Dhanusha,Janaki Mandir,Religious sites and temples,Janakpurdham Sub-Metropolitan City,To prioritize,Master inventory researched,
320,Madhesh Province,Dhanusha,"Ram Mandir, Janakpur",Religious sites and temples,Janakpurdham,To prioritize,Master inventory researched,
321,Madhesh Province,Dhanusha,Dhanushadham,Religious sites and temples,Dhanushadham Municipality,To prioritize,Master inventory researched,
322,Madhesh Province,Dhanusha,Mithila Bihari and Parikrama route sites,Religious sites and temples,Dhanusha countryside,To prioritize,Master inventory researched,Cross-district pilgrimage circuit.
323,Madhesh Province,Dhanusha,Dhanush Sagar,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
324,Madhesh Province,Dhanusha,Ganga Sagar,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
325,Madhesh Province,Dhanusha,Ratna Sagar and other sacred ponds,Lakes and wetlands,Janakpurdham,To prioritize,Master inventory researched,
326,Madhesh Province,Dhanusha,Vivah Mandap,"Museums, palaces, forts, and monuments",Janaki Mandir complex,To prioritize,Master inventory researched,
327,Madhesh Province,Dhanusha,Dhanushadham Protected Forest,"National parks, conservation areas, and wildlife sites",Dhanushadham area,To prioritize,Master inventory researched,
328,Madhesh Province,Dhanusha,Mithila Art and cultural quarters,Historical and cultural places,Janakpurdham,To prioritize,Master inventory researched,
329,Madhesh Province,Dhanusha,Kamala River,Rivers and waterfalls,Eastern Dhanusha,To prioritize,Master inventory researched,
330,Madhesh Province,Mahottari,Jaleshwar Mahadev Temple,Religious sites and temples,Jaleshwar Municipality,To prioritize,Master inventory researched,
331,Madhesh Province,Mahottari,Matihani Temple and Sanskrit heritage area,Religious sites and temples,Matihani Municipality,To prioritize,Master inventory researched,
332,Madhesh Province,Mahottari,Raimandal religious site,Religious sites and temples,Mahottari district,To prioritize,Master inventory researched,Local-area verification recommended.
333,Madhesh Province,Mahottari,Mithila Parikrama route sites,Religious sites and temples,Various southern and central localities,To prioritize,Master inventory researched,Cross-district pilgrimage circuit.
334,Madhesh Province,Mahottari,Tuteshwar Nath Mahadev,Religious sites and temples,Bardibas region,To prioritize,Master inventory researched,
335,Madhesh Province,Mahottari,Bardibas Chure foothills,Natural attractions,Bardibas Municipality,To prioritize,Master inventory researched,
336,Madhesh Province,Mahottari,Gaushala forest and wetland belt,Natural attractions,Gaushala Municipality,To prioritize,Master inventory researched,
337,Madhesh Province,Mahottari,Ratu River corridor,Rivers and waterfalls,Central Mahottari,To prioritize,Master inventory researched,
338,Madhesh Province,Sarlahi,Nadhi Tal,Lakes and wetlands,Chandranagar Rural Municipality area,To prioritize,Master inventory researched,
339,Madhesh Province,Sarlahi,Bharat Tal,Lakes and wetlands,Bagmati Municipality,To prioritize,Master inventory researched,Large artificial lake and recreation destination.
340,Madhesh Province,Sarlahi,Nunthar religious and riverside area,Religious sites and temples,"Bagmati River, northern Sarlahi",To prioritize,Master inventory researched,
341,Madhesh Province,Sarlahi,Rajdevi Temple sites,Religious sites and temples,Malangawa area,To prioritize,Master inventory researched,
342,Madhesh Province,Sarlahi,Sagarnath Forest,"National parks, conservation areas, and wildlife sites",Ishwarpur-Lalbandi region,To prioritize,Master inventory researched,
343,Madhesh Province,Sarlahi,Bagmati River corridor,Rivers and waterfalls,Western/northern Sarlahi,To prioritize,Master inventory researched,
344,Madhesh Province,Sarlahi,Lakhandehi river landscape,Rivers and waterfalls,Central Sarlahi,To prioritize,Master inventory researched,
345,Madhesh Province,Sarlahi,Chure foothill viewpoints,Viewpoints and hill stations,Northern Lalbandi-Ishwarpur,To prioritize,Master inventory researched,
346,Madhesh Province,Rautahat,Nunthar riverside and pilgrimage area,Religious sites and temples,"Chandrapur area, Bagmati River",To prioritize,Master inventory researched,
347,Madhesh Province,Rautahat,"Rajdevi Temple, Gaur area",Religious sites and temples,Gaur Municipality,To prioritize,Master inventory researched,
348,Madhesh Province,Rautahat,Jungle Sahiya forest landscape,"National parks, conservation areas, and wildlife sites",Chandrapur region,To prioritize,Master inventory researched,
349,Madhesh Province,Rautahat,Gaur historical town core,Historical and cultural places,Gaur Municipality,To prioritize,Master inventory researched,
350,Madhesh Province,Rautahat,Bagmati River beaches,Rivers and waterfalls,Northern/western district,To prioritize,Master inventory researched,
351,Madhesh Province,Rautahat,Lal Bakaiya River corridor,Rivers and waterfalls,Central Rautahat,To prioritize,Master inventory researched,
352,Madhesh Province,Rautahat,Chure forest and hill belt,Natural attractions,Northern Rautahat,To prioritize,Master inventory researched,
353,Madhesh Province,Rautahat,Maraghar wetland areas,Lakes and wetlands,Local verification required,To prioritize,Master inventory researched,Include after municipality-level verification.
354,Madhesh Province,Bara,Gadhimai Temple,Religious sites and temples,Mahagadhimai Municipality,To prioritize,Master inventory researched,
355,Madhesh Province,Bara,"Kankali Temple, Simraungadh",Religious sites and temples,Simraungadh,To prioritize,Master inventory researched,
356,Madhesh Province,Bara,Simraungadh archaeological and palace area,Historical and cultural places,Simraungadh Municipality,To prioritize,Master inventory researched,
357,Madhesh Province,Bara,Parsa National Park sector,"National parks, conservation areas, and wildlife sites",Northern Bara,To prioritize,Master inventory researched,Cross-district national park.
358,Madhesh Province,Bara,Nijgadh forest landscape,"National parks, conservation areas, and wildlife sites",Nijgadh Municipality,To prioritize,Master inventory researched,
359,Madhesh Province,Bara,Halkhoria Daha,Lakes and wetlands,Northern Bara,To prioritize,Master inventory researched,
360,Madhesh Province,Bara,Chure forest viewpoints,Viewpoints and hill stations,Nijgadh-Kolhabi north,To prioritize,Master inventory researched,
361,Madhesh Province,Bara,Pasaha River corridor,Rivers and waterfalls,Bara district,To prioritize,Master inventory researched,
362,Madhesh Province,Bara,Dudhora River and forest belt,Rivers and waterfalls,Nijgadh area,To prioritize,Master inventory researched,
363,Madhesh Province,Parsa,Parsa National Park,"National parks, conservation areas, and wildlife sites",Northern Parsa and adjoining districts,To prioritize,Master inventory researched,
364,Madhesh Province,Parsa,Parsa forest safari areas,"National parks, conservation areas, and wildlife sites",Thori-Sakhuwa Prasauni belt,To prioritize,Master inventory researched,
365,Madhesh Province,Parsa,Birgunj Ghadiarwa Pokhari,Lakes and wetlands,Birgunj Metropolitan City,To prioritize,Master inventory researched,
366,Madhesh Province,Parsa,Gahawa Mai Temple,Religious sites and temples,Birgunj,To prioritize,Master inventory researched,
367,Madhesh Province,Parsa,"Bindabasini Temple, Birgunj area",Religious sites and temples,Birgunj,To prioritize,Master inventory researched,
368,Madhesh Province,Parsa,Shankaracharya Gate,"Museums, palaces, forts, and monuments",Birgunj border,To prioritize,Master inventory researched,
369,Madhesh Province,Parsa,Thori hill and forest gateway,Lesser-known or emerging destinations,Thori Rural Municipality,To prioritize,Master inventory researched,
370,Madhesh Province,Parsa,Sikta and Oriya river corridors,Rivers and waterfalls,Western Parsa,To prioritize,Master inventory researched,
371,Madhesh Province,Parsa,Alau historical area,Historical and cultural places,Birgunj-Alau,To prioritize,Master inventory researched,
372,Bagmati Province,Dolakha,Kalinchowk Bhagwati Temple,Religious sites and temples,Kalinchowk Rural Municipality,To prioritize,Master inventory researched,
373,Bagmati Province,Dolakha,Dolakha Bhimsen Temple,Religious sites and temples,Bhimeshwar Municipality,To prioritize,Master inventory researched,
374,Bagmati Province,Dolakha,Kuri village,Community tourism and notable villages,Kalinchowk,To prioritize,Master inventory researched,
375,Bagmati Province,Dolakha,Jiri,Community tourism and notable villages,Jiri Municipality,To prioritize,Master inventory researched,Historic trekking gateway.
376,Bagmati Province,Dolakha,Gaurishankar Conservation Area,"National parks, conservation areas, and wildlife sites",Northern Dolakha and adjoining districts,To prioritize,Master inventory researched,
377,Bagmati Province,Dolakha,Rolwaling Valley,Trekking areas and mountain destinations,Gaurishankar Rural Municipality,To prioritize,Master inventory researched,
378,Bagmati Province,Dolakha,Lamabagar and Lapchi valley,Trekking areas and mountain destinations,BigU Rural Municipality,To prioritize,Master inventory researched,
379,Bagmati Province,Dolakha,Tsho Rolpa Lake,Lakes and wetlands,Rolwaling Valley,To prioritize,Master inventory researched,
380,Bagmati Province,Dolakha,Charikot viewpoints,Viewpoints and hill stations,Bhimeshwar Municipality,To prioritize,Master inventory researched,
381,Bagmati Province,Dolakha,Sailung hills,Viewpoints and hill stations,Dolakha-Ramechhap border,To prioritize,Master inventory researched,
382,Bagmati Province,Dolakha,Biguti and Tamakoshi valleys,Natural attractions,Northern and central Dolakha,To prioritize,Master inventory researched,
383,Bagmati Province,Sindhupalchok,Langtang National Park sector,"National parks, conservation areas, and wildlife sites",Northern Sindhupalchok,To prioritize,Master inventory researched,Cross-district park.
384,Bagmati Province,Sindhupalchok,Helambu trekking region,Trekking areas and mountain destinations,Helambu Rural Municipality,To prioritize,Master inventory researched,
385,Bagmati Province,Sindhupalchok,Panch Pokhari,Lakes and wetlands,Panchpokhari Thangpal Rural Municipality,To prioritize,Master inventory researched,Sacred alpine lake group.
386,Bagmati Province,Sindhupalchok,Bhairav Kunda,Lakes and wetlands,Bhotekoshi region,To prioritize,Master inventory researched,
387,Bagmati Province,Sindhupalchok,Tatopani hot springs,Natural attractions,Bhotekoshi Rural Municipality,To prioritize,Master inventory researched,
388,Bagmati Province,Sindhupalchok,Sukute beach and rafting corridor,Rivers and waterfalls,Sunkoshi River,To prioritize,Master inventory researched,
389,Bagmati Province,Sindhupalchok,Bhotekoshi rafting and canyoning area,Rivers and waterfalls,Bhotekoshi valley,To prioritize,Master inventory researched,
390,Bagmati Province,Sindhupalchok,Gaurati Bhimsen Temple,Religious sites and temples,Chautara Sangachokgadhi Municipality,To prioritize,Master inventory researched,
391,Bagmati Province,Sindhupalchok,Palchok Bhagwati Temple,Religious sites and temples,Helambu region,To prioritize,Master inventory researched,
392,Bagmati Province,Sindhupalchok,Melamchi-Ghyangfedi villages,Community tourism and notable villages,Helambu-Melamchi belt,To prioritize,Master inventory researched,
393,Bagmati Province,Sindhupalchok,Ama Yangri peak,Viewpoints and hill stations,Helambu,To prioritize,Master inventory researched,
394,Bagmati Province,Rasuwa,Langtang National Park,"National parks, conservation areas, and wildlife sites",Most of northern Rasuwa,To prioritize,Master inventory researched,
395,Bagmati Province,Rasuwa,Langtang Valley,Trekking areas and mountain destinations,Gosainkunda Rural Municipality,To prioritize,Master inventory researched,
396,Bagmati Province,Rasuwa,Tamang Heritage Trail,Trekking areas and mountain destinations,Gatlang-Tatopani-Thuman region,To prioritize,Master inventory researched,
397,Bagmati Province,Rasuwa,Gosainkunda Lake,Lakes and wetlands,Gosainkunda Rural Municipality,To prioritize,Master inventory researched,Ramsar sacred alpine lake.
398,Bagmati Province,Rasuwa,Kyanjin Gompa,Community tourism and notable villages,Langtang Valley,To prioritize,Master inventory researched,
399,Bagmati Province,Rasuwa,Gatlang village,Community tourism and notable villages,Parbatikunda/Aama Chhodingmo area,To prioritize,Master inventory researched,
400,Bagmati Province,Rasuwa,Tserko Ri,Viewpoints and hill stations,Kyanjin area,To prioritize,Master inventory researched,
401,Bagmati Province,Rasuwa,"Tatopani, Rasuwa",Natural attractions,Tamang Heritage Trail,To prioritize,Master inventory researched,
402,Bagmati Province,Rasuwa,Chilime and Bhote Koshi valleys,Natural attractions,Northern Rasuwa,To prioritize,Master inventory researched,
403,Bagmati Province,Rasuwa,Rasuwagadhi Fort,"Museums, palaces, forts, and monuments","Gosaikunda Rural Municipality, border area",To prioritize,Master inventory researched,
404,Bagmati Province,Dhading,Ganesh Himal trekking region,Trekking areas and mountain destinations,Northern Dhading,To prioritize,Master inventory researched,
405,Bagmati Province,Dhading,Ruby Valley,Trekking areas and mountain destinations,Ruby Valley Rural Municipality,To prioritize,Master inventory researched,
406,Bagmati Province,Dhading,Tripurasundari Temple,Religious sites and temples,Tripurasundari Rural Municipality,To prioritize,Master inventory researched,
407,Bagmati Province,Dhading,Ganga Jamuna Waterfall,Rivers and waterfalls,Ganga Jamuna Rural Municipality,To prioritize,Master inventory researched,
408,Bagmati Province,Dhading,Trishuli River rafting corridor,Rivers and waterfalls,Benighat-Rorang/Gajuri belt,To prioritize,Master inventory researched,
409,Bagmati Province,Dhading,Netrawati-Dabjong heritage landscape,Historical and cultural places,Netrawati Dabjong Rural Municipality,To prioritize,Master inventory researched,
410,Bagmati Province,Dhading,Budhi Gandaki valley,Natural attractions,Northern and western Dhading,To prioritize,Master inventory researched,
411,Bagmati Province,Dhading,Jyamrung Durbar area,"Museums, palaces, forts, and monuments",Nilkantha region,To prioritize,Master inventory researched,
412,Bagmati Province,Dhading,Salyantar plateau,Viewpoints and hill stations,Tripurasundari area,To prioritize,Master inventory researched,
413,Bagmati Province,Dhading,Jharlang and Darkha villages,Community tourism and notable villages,Ruby Valley approaches,To prioritize,Master inventory researched,
414,Bagmati Province,Nuwakot,Nuwakot Durbar complex,"Museums, palaces, forts, and monuments",Bidur Municipality,To prioritize,Master inventory researched,
415,Bagmati Province,Nuwakot,Saat Tale Durbar,"Museums, palaces, forts, and monuments",Nuwakot heritage area,To prioritize,Master inventory researched,
416,Bagmati Province,Nuwakot,"Bhairabi Temple, Nuwakot",Religious sites and temples,Nuwakot heritage area,To prioritize,Master inventory researched,
417,Bagmati Province,Nuwakot,Devighat,Religious sites and temples,Trishuli-Tadi confluence,To prioritize,Master inventory researched,
418,Bagmati Province,Nuwakot,Dupcheshwar Mahadev Temple,Religious sites and temples,Dupcheshwar Rural Municipality,To prioritize,Master inventory researched,
419,Bagmati Province,Nuwakot,Kakani,Viewpoints and hill stations,Kakani Rural Municipality,To prioritize,Master inventory researched,
420,Bagmati Province,Nuwakot,Suryachaur,Viewpoints and hill stations,Shivapuri area,To prioritize,Master inventory researched,
421,Bagmati Province,Nuwakot,Langtang National Park sector,"National parks, conservation areas, and wildlife sites",Eastern/northern Nuwakot,To prioritize,Master inventory researched,Cross-district park.
422,Bagmati Province,Nuwakot,Trishuli River rafting corridor,Rivers and waterfalls,Across district,To prioritize,Master inventory researched,
423,Bagmati Province,Nuwakot,Tadi River valley,Rivers and waterfalls,Central Nuwakot,To prioritize,Master inventory researched,
424,Bagmati Province,Nuwakot,Kispang and Ghale village landscapes,Community tourism and notable villages,Kispang Rural Municipality,To prioritize,Master inventory researched,
425,Bagmati Province,Kathmandu,Kathmandu Durbar Square,Historical and cultural places,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
426,Bagmati Province,Kathmandu,Kirtipur heritage town,Historical and cultural places,Kirtipur Municipality,To prioritize,Master inventory researched,
427,Bagmati Province,Kathmandu,Swayambhunath,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
428,Bagmati Province,Kathmandu,Boudhanath Stupa,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
429,Bagmati Province,Kathmandu,Pashupatinath Temple,Religious sites and temples,Kathmandu Metropolitan City,To prioritize,Master inventory researched,
430,Bagmati Province,Kathmandu,Budhanilkantha Temple,Religious sites and temples,Budhanilkantha Municipality,To prioritize,Master inventory researched,
431,Bagmati Province,Kathmandu,Kapan Monastery,Religious sites and temples,Budhanilkantha Municipality,To prioritize,Master inventory researched,
432,Bagmati Province,Kathmandu,Pharping heritage and monastery circuit,Religious sites and temples,Dakshinkali Municipality,To prioritize,Master inventory researched,
433,Bagmati Province,Kathmandu,Dakshinkali Temple,Religious sites and temples,Dakshinkali Municipality,To prioritize,Master inventory researched,
434,Bagmati Province,Kathmandu,Chandragiri Hills,Viewpoints and hill stations,Chandragiri Municipality,To prioritize,Master inventory researched,
435,Bagmati Province,Kathmandu,Indra Daha and Dahachok,Viewpoints and hill stations,Chandragiri Municipality,To prioritize,Master inventory researched,
436,Bagmati Province,Kathmandu,Shivapuri-Nagarjun National Park,"National parks, conservation areas, and wildlife sites",Northern and western Kathmandu Valley,To prioritize,Master inventory researched,
437,Bagmati Province,Kathmandu,Nagarjun-Jamacho hike,Trekking areas and mountain destinations,Nagarjun forest,To prioritize,Master inventory researched,
438,Bagmati Province,Kathmandu,Sundarijal,Rivers and waterfalls,Gokarneshwar Municipality,To prioritize,Master inventory researched,
439,Bagmati Province,Kathmandu,Bagdwar,Rivers and waterfalls,Shivapuri ridge,To prioritize,Master inventory researched,Source area of the Bagmati River.
440,Bagmati Province,Kathmandu,Taudaha Lake,Lakes and wetlands,Kirtipur/Dakshinkali corridor,To prioritize,Master inventory researched,
441,Bagmati Province,Kathmandu,Gokarna forest and temple area,Natural attractions,Gokarneshwar Municipality,To prioritize,Master inventory researched,
442,Bagmati Province,Kathmandu,Narayanhiti Palace Museum,"Museums, palaces, forts, and monuments",Kathmandu,To prioritize,Master inventory researched,
443,Bagmati Province,Kathmandu,National Museum of Nepal,"Museums, palaces, forts, and monuments","Chhauni, Kathmandu",To prioritize,Master inventory researched,
444,Bagmati Province,Bhaktapur,Bhaktapur Durbar Square,Historical and cultural places,Bhaktapur Municipality,To prioritize,Master inventory researched,
445,Bagmati Province,Bhaktapur,Dattatreya Square,Historical and cultural places,Bhaktapur Municipality,To prioritize,Master inventory researched,
446,Bagmati Province,Bhaktapur,Thimi heritage town,Historical and cultural places,Madhyapur Thimi Municipality,To prioritize,Master inventory researched,
447,Bagmati Province,Bhaktapur,Bode and Nil Barahi cultural area,Historical and cultural places,Madhyapur Thimi,To prioritize,Master inventory researched,
448,Bagmati Province,Bhaktapur,Nyatapola Temple,Religious sites and temples,Taumadhi Square,To prioritize,Master inventory researched,
449,Bagmati Province,Bhaktapur,Changu Narayan Temple,Religious sites and temples,Changunarayan Municipality,To prioritize,Master inventory researched,
450,Bagmati Province,Bhaktapur,Kailashnath Mahadev Statue,Religious sites and temples,"Sanga, Suryabinayak Municipality",To prioritize,Master inventory researched,
451,Bagmati Province,Bhaktapur,Suryabinayak Temple,Religious sites and temples,Suryabinayak Municipality,To prioritize,Master inventory researched,
