index,province,district,place_name,category,municipality_or_area,priority,research_status,notes
236,Koshi Province,Solukhumbu,Thame Village and Monastery,Sherpa village and monastery,Thame Valley,High,First-round researched,
237,Koshi Province,Sunsari,Amha Simsar / Amaha Wetland,Wetland and birdwatching,Barju Rural Municipality,Major,First-round researched,
238,Koshi Province,Sunsari,Barahakshetra Temple,Hindu pilgrimage site,Barahakshetra Municipality,Major,First-round researched,
239,Koshi Province,Sunsari,Budha Subba Temple,Kirat and Hindu site,"Vijayapur, Dharan",Major,First-round researched,
240,Koshi Province,Sunsari,Chatara,Religious gateway and river town,Barahakshetra Municipality,Major,First-round researched,
241,Koshi Province,Sunsari,Chataradham,Religious pilgrimage destination,Chatara,Major,First-round researched,
242,Koshi Province,Sunsari,Dantakali Temple,Shakti Peeth,"Vijayapur, Dharan",Major,First-round researched,
243,Koshi Province,Sunsari,Koshi Barrage Viewpoint,River viewpoint and birdwatching,Koshi River,Major,First-round researched,
244,Koshi Province,Sunsari,Koshi Tappu Ramsar Site,Wetland of international importance,Koshi floodplain,Major,First-round researched,
245,Koshi Province,Sunsari,Koshi Tappu Wildlife Reserve,Wildlife reserve and wetland,Sunsari–Saptari–Udayapur,Major,First-round researched,
246,Koshi Province,Sunsari,Pindeshwar Temple,Hindu pilgrimage site,"Vijayapur, Dharan",Major,First-round researched,
247,Koshi Province,Sunsari,Ramdhuni Temple,Hindu pilgrimage and sacred fire site,Ramdhuni Municipality,Major,First-round researched,
248,Koshi Province,Sunsari,Tal Talaiya,"Wetland, park and boating",Itahari,Major,First-round researched,
249,Koshi Province,Sunsari,Vijayapur Hill,Historical and religious landscape,Dharan,Major,First-round researched,
250,Koshi Province,Sunsari,Chinde Danda,Viewpoint and hike,Dharan area,High,First-round researched,
251,Koshi Province,Sunsari,Mechikali Pokhari,Pond and recreation,Itahari,High,First-round researched,
252,Koshi Province,Sunsari,Panchakanya Forest,Forest recreation,Dharan,High,First-round researched,
253,Koshi Province,Sunsari,Srilanka Tappu,River island and wetland,Koshi floodplain,High,First-round researched,
254,Koshi Province,Sunsari,Vijayapur Gadhi,Historical fort,Dharan,High,First-round researched,
255,Koshi Province,Taplejung,Diki Chhyoling Monastery,Historic Buddhist monastery,Olangchung Gola,Major,First-round researched,
256,Koshi Province,Taplejung,Fungfunge / Phungphunge Waterfall,Waterfall,Meringden Rural Municipality,Major,First-round researched,
257,Koshi Province,Taplejung,Ghunsa Village,Sherpa village and trekking hub,Phaktanglung Rural Municipality,Major,First-round researched,
258,Koshi Province,Taplejung,Kanchenjunga Conservation Area,Conservation area and trekking,Northern Taplejung,Major,First-round researched,
259,Koshi Province,Taplejung,Kanchenjunga North Base Camp / Pang Pema,High-altitude trekking destination,Phaktanglung Rural Municipality,Major,First-round researched,
260,Koshi Province,Taplejung,Kanchenjunga South Base Camp / Oktang,High-altitude trekking destination,Sirijangha Rural Municipality,Major,First-round researched,
261,Koshi Province,Taplejung,Lhonak Valley,Alpine valley,Phaktanglung Rural Municipality,Major,First-round researched,
262,Koshi Province,Taplejung,Mount Kanchenjunga,Mountain and expedition destination,Northern Taplejung,Major,First-round researched,
263,Koshi Province,Taplejung,Olangchung Gola,Historic trans-Himalayan village,Phaktanglung Rural Municipality Ward 7,Major,First-round researched,
264,Koshi Province,Taplejung,Pathibhara Devi Temple,Pilgrimage site and viewpoint,Taplejung,Major,First-round researched,
265,Koshi Province,Taplejung,Sele La,High mountain pass,Kanchenjunga circuit,Major,First-round researched,
266,Koshi Province,Taplejung,Timbung Pokhari,Sacred alpine lake,Sidingwa–Panchthar border area,Major,First-round researched,
267,Koshi Province,Taplejung,Tiptala / Tipta La Border Pass,Nepal–China border pass,North of Olangchung Gola,Major,First-round researched,
268,Koshi Province,Taplejung,Yalung Glacier,Glacier,Sirijangha Rural Municipality,Major,First-round researched,
269,Koshi Province,Taplejung,Yalung Valley,Glacier valley,Sirijangha Rural Municipality,Major,First-round researched,
270,Koshi Province,Taplejung,Gumbadanda,Buddhist cultural village and homestay,Phungling Municipality,High,First-round researched,
271,Koshi Province,Taplejung,Lelep Village,Conservation gateway,Phaktanglung Rural Municipality,High,First-round researched,
272,Koshi Province,Taplejung,"Limbu Museum, Mamangkhe",Cultural museum,Sirijangha Rural Municipality,High,First-round researched,
273,Koshi Province,Taplejung,Sirijangha Cave,Historical and religious cave,Sirijangha Rural Municipality,High,First-round researched,
274,Koshi Province,Taplejung,Suketar,Air gateway,Phungling Municipality,Major gateway,First-round researched,
275,Koshi Province,Taplejung,Tato Pani,Natural hot spring,Sirijangha Rural Municipality,High,First-round researched,
276,Koshi Province,Tehrathum,Basantapur,Hill station and rhododendron gateway,Laligurans Municipality,Major,First-round researched,
277,Koshi Province,Tehrathum,Changlung Cave,Cave and geological attraction,Chhathar Rural Municipality Ward 6,Major,First-round researched,
278,Koshi Province,Tehrathum,Chotlung Park,Limbu cultural park,"Basantapur, Laligurans Municipality Ward 3",Major,First-round researched,
279,Koshi Province,Tehrathum,Hyatrung Waterfall,Waterfall,Phedap Rural Municipality Wards 4–5,Major,First-round researched,
280,Koshi Province,Tehrathum,Menchhayayem Danda,Himalayan viewpoint,Menchhayayem Rural Municipality,Major,First-round researched,
281,Koshi Province,Tehrathum,Tinjure Danda,Rhododendron forest and viewpoint,Laligurans Municipality,Major,First-round researched,
282,Koshi Province,Tehrathum,Tinjure–Milke–Jaljale Corridor,Rhododendron biodiversity and trekking,Laligurans and adjoining districts,Major,First-round researched,
283,Koshi Province,Tehrathum,Marga Pokhari,Sacred natural pond,Chhathar Rural Municipality,High,First-round researched,
284,Koshi Province,Tehrathum,Morahang Bazaar,Historic hill settlement,Menchhayayem Rural Municipality,High,First-round researched,
285,Koshi Province,Tehrathum,Myanglung Bazaar,Historical hill town,Myanglung Municipality,High,First-round researched,
286,Koshi Province,Tehrathum,Myanglung Cat Stone / Chichi Lung,Cultural landmark,Myanglung Municipality,High,First-round researched,
287,Koshi Province,Tehrathum,Panchakanya Chhathar Pokhari,Pond and religious landscape,Chhathar Rural Municipality,High,First-round researched,
288,Koshi Province,Tehrathum,Sankranti Bazaar,Historic market and Aathrai gateway,Aathrai Rural Municipality,High,First-round researched,
289,Koshi Province,Udayapur,Chaudandigadhi Fort,Historical fort and viewpoint,Chaudandigadhi Municipality,Major,First-round researched,
290,Koshi Province,Udayapur,Koshi Tappu Wildlife Reserve – Udayapur section,Wildlife and wetland,Belaka Municipality side,Major,First-round researched,
291,Koshi Province,Udayapur,Limchungbung Everest Viewpoint / Debate Danda,Himalayan viewpoint,Limchungbung Rural Municipality,Major,First-round researched,
292,Koshi Province,Udayapur,Rauta Pokhari and Rauta Mahadev,Sacred pond and pilgrimage cluster,Rautamai Rural Municipality,Major,First-round researched,
293,Koshi Province,Udayapur,Tapli Pokhari,Sacred pond and viewpoint,Tapli Rural Municipality,Major,First-round researched,
294,Koshi Province,Udayapur,Triveni Dham,River confluence and pilgrimage,Katari Municipality,Major,First-round researched,
295,Koshi Province,Udayapur,Udayapurgadhi,Historical fort and viewpoint,Udayapurgadhi Rural Municipality Ward 5,Major,First-round researched,
296,Koshi Province,Udayapur,Basaha Than Shivalaya,Hindu temple,Chaudandigadhi Municipality Ward 4,High,First-round researched,
297,Koshi Province,Udayapur,Dwardani Devi Sthan,Religious site,Chaudandigadhi Municipality Ward 7,High,First-round researched,
298,Koshi Province,Udayapur,Kanya Aulshree Gumba,Buddhist monastery,Chaudandigadhi Municipality Ward 7,High,First-round researched,
299,Koshi Province,Udayapur,Lingeshwar Shivalaya,Hindu temple,Chaudandigadhi Municipality Ward 6,High,First-round researched,
300,Koshi Province,Udayapur,Mini Apraha Waterfall,Waterfall,Chaudandigadhi Municipality Ward 8,High,First-round researched,
301,Koshi Province,Udayapur,Sapta Koshi River Corridor,River and nature destination,Belaka Municipality,High,First-round researched,
302,Koshi Province,Udayapur,Than Pokhari Than,Sacred pond and religious site,Chaudandigadhi Municipality Ward 9,High,First-round researched,
